display_name,canonical_wikipedia_url,structural_classification,dominant_verification_status,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,materially_inflated,structurally_suspect,25,20,3,2,0,unresolved_after_review,confirmed_stable_after_review,20,20,B=19; O=0; C=0; W=1,B=19; O=0; C=0; W=1,18,18,V=17; D=1; N=0; U=2,V=17; D=1; N=0; U=2,0,2,1,1,1.0,1.0,1.0,1.0,robust_elite_core,robust_elite_core,high,high
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,high_priority_manual_concern,structurally_suspect,35,16,12,7,0,corrected,confirmed_stable_after_review,16,16,B=16; O=0; C=0; W=0,B=16; O=0; C=0; W=0,16,16,V=11; D=3; N=1; U=0,V=11; D=3; N=1; U=0,4,0,0,0,2.0,2.0,3.0,3.0,model_sensitive_band,model_sensitive_band,caution,caution
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,high_priority_manual_concern,structurally_suspect,77,67,3,7,0,corrected_but_partially_unresolved,confirmed_stable_after_review,67,67,B=65; O=0; C=0; W=2,B=65; O=0; C=0; W=2,60,60,V=49; D=9; N=2; U=7,V=49; D=9; N=2; U=7,2,7,4,4,3.0,3.0,2.0,2.0,robust_elite_core,robust_elite_core,very_high,very_high
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,high_priority_manual_concern,structurally_suspect,39,22,5,12,0,corrected_but_partially_unresolved,confirmed_stable_after_review,22,22,B=18; O=3; C=0; W=1,B=18; O=3; C=0; W=1,20,20,V=14; D=4; N=2; U=2,V=14; D=4; N=2; U=2,2,2,1,1,4.0,4.0,4.0,4.0,model_sensitive_band,model_sensitive_band,caution,caution
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,high_priority_manual_concern,structurally_suspect,21,13,4,4,0,corrected_but_partially_unresolved,confirmed_stable_after_review,13,13,B=5; O=7; C=0; W=1,B=5; O=7; C=0; W=1,9,9,V=6; D=1; N=2; U=4,V=6; D=1; N=2; U=4,2,4,3,3,5.0,5.0,5.0,5.0,model_sensitive_band,model_sensitive_band,caution,caution
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,high_priority_manual_concern,structurally_suspect,28,21,4,3,0,unresolved_after_review,confirmed_stable_after_review,21,21,B=16; O=0; C=0; W=5,B=16; O=0; C=0; W=5,16,16,V=15; D=1; N=0; U=5,V=15; D=1; N=0; U=5,0,5,3,3,6.0,6.0,9.0,9.0,robust_elite_core,robust_elite_core,high,high
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,high_priority_manual_concern,structurally_suspect,21,15,2,4,0,corrected_but_partially_unresolved,confirmed_stable_after_review,15,15,B=8; O=0; C=0; W=7,B=8; O=0; C=0; W=7,11,11,V=9; D=1; N=1; U=4,V=9; D=1; N=1; U=4,1,4,4,4,7.0,8.0,6.0,7.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Subutai,https://en.wikipedia.org/wiki/Subutai,mildly_inflated,verified_broad,17,16,1,0,0,corrected,confirmed_stable_after_review,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,16,16,V=14; D=2; N=0; U=0,V=14; D=2; N=0; U=0,2,0,0,0,8.0,7.0,8.0,8.0,robust_elite_core,robust_elite_core,high,high
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,high_priority_manual_concern,structurally_suspect,28,25,0,3,0,unresolved_after_review,confirmed_stable_after_review,25,25,B=22; O=0; C=0; W=3,B=22; O=0; C=0; W=3,20,20,V=15; D=5; N=0; U=5,V=15; D=5; N=0; U=5,0,5,2,2,9.0,9.0,10.0,10.0,robust_elite_core,robust_elite_core,high,high
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,materially_inflated,structurally_suspect,30,28,1,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,28,28,B=25; O=0; C=0; W=3,B=25; O=0; C=0; W=3,27,27,V=24; D=2; N=1; U=1,V=24; D=2; N=1; U=1,1,1,1,1,10.0,10.0,11.0,11.0,robust_elite_core,robust_elite_core,high,high
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,high_priority_manual_concern,structurally_suspect,28,23,1,4,0,corrected_but_partially_unresolved,confirmed_stable_after_review,23,23,B=22; O=0; C=0; W=1,B=22; O=0; C=0; W=1,21,21,V=17; D=4; N=0; U=2,V=17; D=4; N=0; U=2,3,2,2,2,11.0,11.0,15.0,17.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,materially_inflated,structurally_suspect,41,38,2,1,0,unresolved_after_review,confirmed_stable_after_review,38,38,B=36; O=0; C=0; W=2,B=36; O=0; C=0; W=2,35,35,V=28; D=7; N=0; U=3,V=28; D=7; N=0; U=3,0,3,3,3,12.0,12.0,13.0,13.0,robust_elite_core,robust_elite_core,very_high,very_high
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,mildly_inflated,verified_broad,11,9,2,0,0,corrected,confirmed_stable_after_review,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,9,9,V=8; D=1; N=0; U=0,V=8; D=1; N=0; U=0,1,0,0,0,13.0,13.0,7.0,6.0,model_sensitive_band,model_sensitive_band,caution,caution
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,materially_inflated,structurally_suspect,27,19,6,2,0,unresolved_after_review,confirmed_stable_after_review,19,19,B=9; O=10; C=0; W=0,B=9; O=10; C=0; W=0,12,12,V=11; D=1; N=0; U=7,V=11; D=1; N=0; U=7,0,7,3,3,14.0,14.0,16.0,15.0,model_sensitive_band,model_sensitive_band,caution,caution
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,high_priority_manual_concern,structurally_suspect,24,14,6,4,0,unresolved_after_review,confirmed_stable_after_review,14,14,B=8; O=1; C=0; W=5,B=8; O=1; C=0; W=5,9,9,V=5; D=3; N=1; U=5,V=5; D=3; N=1; U=5,0,5,5,5,16.0,17.0,27.0,27.0,model_sensitive_band,model_sensitive_band,caution,caution
Babur,https://en.wikipedia.org/wiki/Babur,materially_inflated,verified_broad,16,11,5,0,0,unresolved_after_review,confirmed_stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,7,7,V=6; D=1; N=0; U=4,V=6; D=1; N=0; U=4,0,4,4,4,17.0,18.0,18.0,18.0,model_sensitive_band,model_sensitive_band,caution,caution
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,materially_inflated,structurally_suspect,17,13,3,1,0,unresolved_after_review,confirmed_stable_after_review,13,13,B=11; O=0; C=0; W=2,B=11; O=0; C=0; W=2,9,9,V=7; D=2; N=0; U=4,V=7; D=2; N=0; U=4,0,4,1,1,18.0,16.0,19.0,19.0,model_sensitive_band,model_sensitive_band,caution,caution
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,materially_inflated,structurally_suspect,46,43,1,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,43,43,B=40; O=0; C=0; W=3,B=40; O=0; C=0; W=3,37,37,V=29; D=7; N=1; U=6,V=29; D=7; N=1; U=6,1,6,5,5,19.0,19.0,29.0,28.0,strong_upper_tier,strong_upper_tier,high,high
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,materially_inflated,structurally_suspect,12,9,1,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=5; O=3; C=0; W=1,B=5; O=3; C=0; W=1,7,7,V=7; D=0; N=0; U=2,V=7; D=0; N=0; U=2,1,2,2,2,20.0,21.0,17.0,16.0,model_sensitive_band,model_sensitive_band,caution,caution
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,materially_inflated,structurally_suspect,22,21,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,21,21,B=19; O=0; C=0; W=2,B=19; O=0; C=0; W=2,19,19,V=16; D=3; N=0; U=2,V=16; D=3; N=0; U=2,1,2,2,2,21.0,20.0,25.0,25.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,materially_inflated,verified_broad,12,9,3,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=4; O=3; C=0; W=2,B=4; O=3; C=0; W=2,7,7,V=7; D=0; N=0; U=2,V=7; D=0; N=0; U=2,0,2,2,2,22.0,22.0,14.0,14.0,model_sensitive_band,model_sensitive_band,caution,caution
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,materially_inflated,structurally_suspect,25,22,2,1,0,corrected,confirmed_stable_after_review,22,22,B=22; O=0; C=0; W=0,B=22; O=0; C=0; W=0,21,21,V=15; D=5; N=1; U=1,V=15; D=5; N=1; U=1,1,1,0,0,23.0,23.0,30.0,31.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,high_priority_manual_concern,structurally_suspect,17,10,2,5,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,9,9,V=7; D=1; N=1; U=1,V=7; D=1; N=1; U=1,3,1,1,1,24.0,24.0,28.0,29.0,model_sensitive_band,model_sensitive_band,caution,caution
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,mildly_inflated,verified_broad,13,11,2,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,10,10,V=9; D=1; N=0; U=1,V=9; D=1; N=0; U=1,1,1,1,1,25.0,25.0,24.0,23.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,materially_inflated,verified_broad,15,11,4,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,10,10,V=9; D=1; N=0; U=1,V=9; D=1; N=0; U=1,1,1,1,1,26.0,26.0,22.0,21.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,structurally_clean,verified_core,16,16,0,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,13,13,V=12; D=0; N=1; U=3,V=12; D=0; N=1; U=3,1,3,2,2,28.0,29.0,23.0,22.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,materially_inflated,structurally_suspect,20,18,0,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,18,18,B=17; O=0; C=0; W=1,B=17; O=0; C=0; W=1,11,11,V=10; D=1; N=0; U=7,V=10; D=1; N=0; U=7,3,7,7,7,29.0,30.0,26.0,26.0,model_sensitive_band,model_sensitive_band,caution,caution
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,materially_inflated,structurally_suspect,23,20,1,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,15,15,V=11; D=1; N=3; U=5,V=11; D=1; N=3; U=5,3,5,4,4,30.0,31.0,32.0,32.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Belisarius,https://en.wikipedia.org/wiki/Belisarius,mildly_inflated,verified_broad,19,18,1,0,0,corrected,confirmed_stable_after_review,18,18,B=15; O=0; C=0; W=3,B=15; O=0; C=0; W=3,18,18,V=11; D=4; N=2; U=0,V=11; D=4; N=2; U=0,1,0,0,0,33.0,33.0,39.0,39.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,high_priority_manual_concern,structurally_suspect,17,9,5,3,0,corrected,confirmed_stable_after_review,9,9,B=4; O=4; C=0; W=1,B=4; O=4; C=0; W=1,9,9,V=9; D=0; N=0; U=0,V=9; D=0; N=0; U=0,1,0,0,0,34.0,34.0,31.0,30.0,model_sensitive_band,model_sensitive_band,caution,caution
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,materially_inflated,structurally_suspect,18,13,4,1,0,corrected,confirmed_stable_after_review,13,13,B=8; O=5; C=0; W=0,B=8; O=5; C=0; W=0,12,12,V=11; D=1; N=0; U=1,V=11; D=1; N=0; U=1,1,1,0,0,36.0,35.0,41.0,43.0,model_sensitive_band,model_sensitive_band,caution,caution
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,materially_inflated,structurally_suspect,22,20,1,1,0,unresolved_after_review,confirmed_stable_after_review,20,20,B=19; O=0; C=0; W=1,B=19; O=0; C=0; W=1,18,18,V=16; D=2; N=0; U=2,V=16; D=2; N=0; U=2,0,2,2,2,37.0,36.0,37.0,38.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,mildly_inflated,verified_broad,42,41,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,41,41,B=40; O=0; C=0; W=1,B=40; O=0; C=0; W=1,39,39,V=37; D=0; N=2; U=2,V=37; D=0; N=2; U=2,7,2,2,2,38.0,37.0,42.0,42.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,materially_inflated,verified_broad,20,13,7,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,13,13,B=11; O=1; C=0; W=1,B=11; O=1; C=0; W=1,8,8,V=6; D=1; N=1; U=5,V=6; D=1; N=1; U=5,1,5,5,5,39.0,39.0,60.0,60.0,model_sensitive_band,model_sensitive_band,caution,caution
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,mildly_inflated,verified_broad,23,22,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,22,22,B=20; O=2; C=0; W=0,B=20; O=2; C=0; W=0,17,17,V=12; D=2; N=3; U=5,V=12; D=2; N=3; U=5,2,5,1,1,40.0,41.0,47.0,50.0,model_sensitive_band,model_sensitive_band,caution,caution
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,mildly_inflated,verified_broad,14,13,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,13,13,B=13; O=0; C=0; W=0,B=13; O=0; C=0; W=0,11,11,V=8; D=1; N=2; U=2,V=8; D=1; N=2; U=2,2,2,2,2,41.0,42.0,35.0,35.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
