analytic_commander_id,commander_name,rank_hierarchical_trust_v2,flag,flagged,supporting_value,explanation
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,high_rank_low_known_rows,false,18.0,Top-100 commander has 18 known-outcome rows; low evidence volume weakens exact-rank confidence.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,high_rank_many_high_level_pages,false,0.0,"More than 40 percent of measured contribution comes from operation, campaign, or war-level pages."
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,high_rank_low_battle_only_score,false,4.0,"Trust-first placement is much stronger than the battle-only baseline, suggesting dependence on non-battle evidence."
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,large_model_rank_variance,false,3.0,Rank spread across sensitivity models is large enough that adjacent exact rank should not be over-read.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,coalition_credit_heavy,true,0.5,"Large share of strict rows involve four or more known same-side commanders, increasing coalition credit sensitivity."
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,nominal_leader_risk,false,0.0,Role classification is not yet available and the case is broad-page heavy with limited battle-level evidence.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,unclear_role_heavy,false,0.0,"Verified role classification file is not present in this snapshot, so unclear-role heaviness is not assessed in this audit pass."
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,siege_engineering_specialist,false,0.1,Substantial siege-event footprint; field-command rank should be interpreted alongside siege-engineering category strength.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,campaign_page_sensitive,false,0.0,Campaign-page contribution share is high enough to affect interpretation.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,war_page_sensitive,false,0.0,War/conflict-page contribution share is high enough to affect interpretation.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,low_evidence_quality,false,0.9,Event-level evidence-quality scoring is not yet present; low known-outcome density is used as the provisional risk signal.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,region_or_era_source_density_risk,false,18.0,Ancient/medieval cases with low known-outcome count are more exposed to uneven source-density risk.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,identity_merge_risk,false,0.0,"Identity bridge is suspect, low reliability, or not confidently linked."
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,outcome_override_sensitive,false,0.0,Large share of strict rows used outcome overrides; score depends on verified corrections.
acmd_48ef72a8fdfd,Alexander Suvorov,1.0,split_credit_sensitive,true,0.6,Large share of rows involve multi-commander same-side credit splitting.
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,high_rank_low_known_rows,false,35.0,Top-100 commander has 35 known-outcome rows; low evidence volume weakens exact-rank confidence.
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,high_rank_many_high_level_pages,false,0.0,"More than 40 percent of measured contribution comes from operation, campaign, or war-level pages."
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,high_rank_low_battle_only_score,false,14.0,"Trust-first placement is much stronger than the battle-only baseline, suggesting dependence on non-battle evidence."
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,large_model_rank_variance,false,12.0,Rank spread across sensitivity models is large enough that adjacent exact rank should not be over-read.
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,coalition_credit_heavy,false,0.026316,"Large share of strict rows involve four or more known same-side commanders, increasing coalition credit sensitivity."
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,nominal_leader_risk,false,0.0,Role classification is not yet available and the case is broad-page heavy with limited battle-level evidence.
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,unclear_role_heavy,false,0.0,"Verified role classification file is not present in this snapshot, so unclear-role heaviness is not assessed in this audit pass."
acmd_fe8dcb104442,"Maurice, Prince of Orange",2.0,siege_engineering_specialist,true,0.815789,Substantial siege-event footprint; field-command rank should be interpreted alongside siege-engineering category strength.
