display_name,canonical_wikipedia_url,structural_classification,structural_sensitivity,structural_risk_score,structural_notes,outcome_risk_notes_before,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,high_priority_manual_audit,high,46,7 structurally suspect rows; 12 downgraded broad rows; war-page reduction 17→0; campaign reduction 2→0; strict engagements reduced by 18,clean record with unresolved battle outcomes; victory count dropped by 9; known outcomes dropped by 13; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected,stable_after_review,16,16,B=16; O=0; C=0; W=0,B=16; O=0; C=0; W=0,16,16,V=11; D=3; N=1; U=0,V=11; D=3; N=1; U=0,4,0,0,0,2.0,2.0,3.0,3.0,model_sensitive_band,model_sensitive_band,caution,caution
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,high_priority_manual_audit,high,44,12 structurally suspect rows; 5 downgraded broad rows; war-page reduction 2→1; campaign reduction 13→0; strict engagements reduced by 16,victory count dropped by 14; known outcomes dropped by 15; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,22,22,B=18; O=3; C=0; W=1,B=18; O=3; C=0; W=1,18,20,V=14; D=4; N=0; U=4,V=14; D=4; N=2; U=2,2,2,1,1,4.0,4.0,4.0,4.0,model_sensitive_band,model_sensitive_band,caution,caution
Mahmud II,https://en.wikipedia.org/wiki/Mahmud_II,materially_inflated,high,44,5 structurally suspect rows; 5 downgraded broad rows; strict engagements reduced by 9; rank moved materially after verification,known outcomes dropped by 4,unresolved_after_review,stable_after_review,3,3,B=3; O=0; C=0; W=0,B=3; O=0; C=0; W=0,2,2,V=2; D=0; N=0; U=1,V=2; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,high_priority_manual_audit,high,43,9 structurally suspect rows; 2 downgraded broad rows; war-page reduction 8→3; campaign reduction 6→0; strict engagements reduced by 11; rank moved materially after verification,victory count dropped by 4; known outcomes dropped by 5; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected_but_partially_unresolved,material_change,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,16,16,V=12; D=4; N=0; U=4,V=12; D=4; N=0; U=4,1,4,4,4,48.0,,98.0,,model_sensitive_band,,caution,
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,materially_inflated,high,42,6 structurally suspect rows; 1 downgraded broad rows; campaign reduction 7→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 13; known outcomes dropped by 7,corrected_but_partially_unresolved,stable_after_review,10,10,B=6; O=4; C=0; W=0,B=6; O=4; C=0; W=0,7,8,V=6; D=1; N=0; U=3,V=6; D=1; N=1; U=2,2,2,1,1,,,,,,,,
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,materially_inflated,high,36,3 structurally suspect rows; 3 downgraded broad rows; war-page reduction 6→2; campaign reduction 2→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 3,unresolved_after_review,material_change,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,3,3,V=2; D=0; N=0; U=2,V=2; D=0; N=0; U=2,0,2,2,2,181.0,174.0,157.0,157.0,outside_trust_headline,outside_trust_headline,caution,caution
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,high_priority_manual_audit,high,34,4 structurally suspect rows; 4 downgraded broad rows; war-page reduction 4→1; campaign reduction 3→0; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 4; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,13,13,B=5; O=7; C=0; W=1,B=5; O=7; C=0; W=1,7,9,V=6; D=1; N=0; U=6,V=6; D=1; N=2; U=4,2,4,3,3,5.0,5.0,5.0,5.0,model_sensitive_band,model_sensitive_band,caution,caution
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,high_priority_manual_audit,moderate,32,1 structurally suspect rows; 6 downgraded broad rows; war-page reduction 6→0; campaign reduction 1→0; strict engagements reduced by 7; rank moved materially after verification,victory count dropped by 4; known outcomes dropped by 5,corrected,stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=1,V=4; D=1; N=0; U=1,1,1,0,0,,,,,,,,
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,materially_inflated,high,32,2 structurally suspect rows; 4 downgraded broad rows; war-page reduction 5→0; campaign reduction 1→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 4,corrected_but_partially_unresolved,material_change,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,1,2,V=1; D=0; N=0; U=9,V=2; D=0; N=0; U=8,1,8,6,6,95.0,57.0,30.0,12.0,model_sensitive_band,model_sensitive_band,caution,caution
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,materially_inflated,high,31,5 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 7; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,6,9,V=4; D=1; N=1; U=4,V=7; D=1; N=1; U=1,3,1,1,1,,24.0,,28.0,,model_sensitive_band,,caution
