analytic_commander_id,display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,side,belligerent,old_outcome_category,new_outcome_category,page_result_raw,page_result_type,override_justification,override_evidence_basis,override_source
acmd_ffe247d81f31,Abdal-Latif Mirza,https://en.wikipedia.org/wiki/Abdal-Latif_Mirza,battle_38460123,Siege of Balkh (1447),Siege of Balkh (1447),side_b,Timurids of Samarkand,unknown,stalemate,Status quo ante bellum,unknown,Retained page result is explicitly status quo ante bellum.,page_result_raw=Status quo ante bellum,full_population_auto
acmd_00943b46b5e7,Abraham Duquesne,https://en.wikipedia.org/wiki/Abraham_Duquesne,battle_2222019,Battle of Augusta,Battle of Augusta,side_b,Kingdom of France,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_00943b46b5e7,Abraham Duquesne,https://en.wikipedia.org/wiki/Abraham_Duquesne,battle_27476959,Bombardment of Genoa,Bombardment of Genoa,side_a,Kingdom of France France,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_e71224c7b194,Abu Ayyub al-Masri,https://en.wikipedia.org/wiki/Abu_Ayyub_al-Masri,battle_18108548,Islamic Army–Al-Qaeda conflict,Islamic Army–Al-Qaeda conflict,side_b,"Flag of Jihad.svg Mujahideen Shura Council (until October, 2006) 25px Al-Qaeda in Iraq Flag of Jihad.svg Jamaat Jaysh Ahl al-Sunnah wa-l-Jamaah Flag of Jihad.svg Jaish al-Ta'ifa al-Mansurah 25px Katbiyan Ansar al-Tawhid wal Sunnah Flag of Jihad.svg Saray al-Jihad Group Flag of Jihad.svg Al-Ghuraba Brigades Flag of Jihad.svg Al-Ahwal Brigades ISIL Islamic State of Iraq (from October, 2006)",unknown,indecisive,Ceasefire,unknown,Retained page result is explicitly a ceasefire.,page_result_raw=Ceasefire,full_population_auto
acmd_e71224c7b194,Abu Ayyub al-Masri,https://en.wikipedia.org/wiki/Abu_Ayyub_al-Masri,battle_49483894,Second Battle of Habbaniyah,Second Battle of Habbaniyah,side_b,Flag of al-Qaeda in Iraq (2004-2005).svg Al-Qaeda in Iraq,unknown,defeat,U.S. victory,victory,Retained page result begins with `u.s.` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=U.S. victory,full_population_auto
acmd_0018bd671dde,Abu Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,battle_3131002,Battle of Hunayn,Battle of Hunayn,side_a,First Islamic State,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,full_population_auto
acmd_0018bd671dde,Abu Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,battle_3351048,Battle of Khaybar,Battle of Khaybar,side_a,Black flag.svg&nbsp;First Islamic State,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,full_population_auto
acmd_0018bd671dde,Abu Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,battle_70387436,Muslim–Quraysh War,Muslim–Quraysh War,side_a,First Islamic state Quraysh splinter groups Ansar Flag (4).png Ansars Black flag.svg Muhajirun Banu Makhzum (from 627),unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,full_population_auto
acmd_6560617d667e,Abu Bakr al-Baghdadi,https://en.wikipedia.org/wiki/Abu_Bakr_al-Baghdadi,battle_54136045,2012–2013 escalation of the Syrian civil war,2012–2013 escalation of the Syrian civil war,side_b,Syrian opposition Syrian opposition Flag of the Al-Nusra Front.svg Al-Nusra Front Syrian opposition Free Syrian Army Syrian opposition Syrian Revolutionaries Front Syrian opposition Ahfad al-Rasul Brigades Flag of the Islamic Front (Syria).svg Islamic Front 20px Syrian Islamic Front Syrian Islamic Liberation Front Logo of the Suqour al-Sham Brigade.svg Suqour al-Sham 25px Liwa al-Islam Flag of Ahrar ash-Sham.svg Ahrar al-Sham al-Tawhid Brigade 20px Nour al-Din al-Zenki Movement Syrian oppositionAl-Liwaa.svgFlag of Jihad.svg Other rebel groups ---- AQMI Flag asymmetric.svg Islamic State of Iraq and the Levant (from 7 April 2013),unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_8f2f439c1651,Abu Mohammad al-Julani,https://en.wikipedia.org/wiki/Ahmed_al-Sharaa,battle_54136045,2012–2013 escalation of the Syrian civil war,2012–2013 escalation of the Syrian civil war,side_b,Syrian opposition Syrian opposition Flag of the Al-Nusra Front.svg Al-Nusra Front Syrian opposition Free Syrian Army Syrian opposition Syrian Revolutionaries Front Syrian opposition Ahfad al-Rasul Brigades Flag of the Islamic Front (Syria).svg Islamic Front 20px Syrian Islamic Front Syrian Islamic Liberation Front Logo of the Suqour al-Sham Brigade.svg Suqour al-Sham 25px Liwa al-Islam Flag of Ahrar ash-Sham.svg Ahrar al-Sham al-Tawhid Brigade 20px Nour al-Din al-Zenki Movement Syrian oppositionAl-Liwaa.svgFlag of Jihad.svg Other rebel groups ---- AQMI Flag asymmetric.svg Islamic State of Iraq and the Levant (from 7 April 2013),unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_10126467,Battle of Fahl,Battle of Fahl,side_a,Rashidun Caliphate,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,top200_full_audit_auto
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_70387436,Muslim–Quraysh War,Muslim–Quraysh War,side_a,First Islamic state Quraysh splinter groups Ansar Flag (4).png Ansars Black flag.svg Muhajirun Banu Makhzum (from 627),unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,top200_full_audit_auto
acmd_de9c79cac3b8,Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,battle_262120,Operation Uranus,Operation Uranus,side_b,Nazi Germany Fascist Italy (1922-1943) Kingdom of Romania,unknown,defeat,Soviet victory,victory,Retained page result begins with `soviet` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Soviet victory,full_population_auto
acmd_7472b51acb74,Aeneas de Caprara,https://en.wikipedia.org/wiki/Aeneas_de_Caprara,battle_58825236,Battle of Altenheim,Battle of Altenheim,side_b,Holy Roman Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_9b46a317ac31,Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_47267604,Battle of Kup,Battle of Kup,side_a,18px Durrani Empire Supported by:- 18px Sirhind 18px Malerkotla State,unknown,victory,Afghan victory,victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory,top200_full_audit_auto
acmd_9b46a317ac31,Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_48575198,Battle of Lahore (1752),Battle of Lahore (1752),side_a,18px Durrani Empire,unknown,victory,Afghan victory,victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory,top200_full_audit_auto
acmd_9b46a317ac31,Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_73239030,Battle of Qarawal,Battle of Qarawal,side_a,Durrani Empire Khanate of Kalat,unknown,victory,Afghan victory,victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory,top200_full_audit_auto
acmd_45f8b1875958,Al-Harith ibn Jabalah,https://en.wikipedia.org/wiki/Al-Harith_ibn_Jabalah,battle_5196520,Iberian War,Iberian War,side_a,Byzantine Empire Iberia Lazica Ghassanids Huns Heruli Aksum Kinda,unknown,indecisive,InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,unknown,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,full_population_auto
acmd_f5d1bba49f8a,Al-Muthanna ibn Haritha,https://en.wikipedia.org/wiki/Al-Muthanna_ibn_Haritha,battle_4004973,Battle of Namaraq,Battle of Namaraq,side_a,Rashidun Caliphate,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,full_population_auto
acmd_692a59891052,Alasdair Mac Colla,https://en.wikipedia.org/wiki/Alasdair_Mac_Colla,battle_1236163,Battle of Tippermuir,Battle of Tippermuir,side_a,Scottish Royalists Irish Brigade,unknown,victory,Royalist victory,victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory,full_population_auto
acmd_5f4fb66f2f7a,Albert Kesselring,https://en.wikipedia.org/wiki/Albert_Kesselring,battle_1067633,Battle of Gazala,Battle of Gazala,side_a,Kingdom of Italy Nazi Germany,unknown,defeat,Axis victory,victory,Retained page result begins with `axis` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Axis victory,full_population_auto
acmd_5f4fb66f2f7a,Albert Kesselring,https://en.wikipedia.org/wiki/Albert_Kesselring,battle_522777,Gothic Line,Gothic Line,side_b,Nazi Germany Italian Social Republic,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_73305bd7a7e8,Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,battle_262120,Operation Uranus,Operation Uranus,side_a,USSR,unknown,victory,Soviet victory,victory,Retained page result begins with `soviet` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Soviet victory,top200_full_audit_auto
acmd_d2d76819b2bb,Aleksey Kuropatkin,https://en.wikipedia.org/wiki/Aleksey_Kuropatkin,battle_1560378,Battle of Sandepu,Battle of Sandepu,side_b,Russian Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_f8ae3bf0ce52,Alexander Litvinov,https://en.wikipedia.org/wiki/Alexander_Litvinov,battle_4211390,Battle of Humin-Bolimów,Battle of Humin-Bolimów,side_b,Flag_of_Russia_(1914-1917).svg Russian Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_f8ae3bf0ce52,Alexander Litvinov,https://en.wikipedia.org/wiki/Alexander_Litvinov,battle_71409458,First Battle of Przasnysz,First Battle of Przasnysz,side_b,Flag_of_Russia_(1914-1917).svg Russian Empire,unknown,victory,Russian victory German plans to encircle Russians in Poland failОлейников 2016,victory,Retained page result begins with `russian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Russian victory German plans to encircle Russians in Poland failОлейников 2016,full_population_auto
acmd_26a86dc0936b,Alexander Löhr,https://en.wikipedia.org/wiki/Alexander_L%C3%B6hr,battle_1165533,Case Black,Case Black,side_a,Axis: Fascist Italy (1922–1943) Nazi Germany Independent State of Croatia Kingdom of BulgariaTomasevich 1975,unknown,indecisive,Inconclusive Axis failure despite heavy Partisan casualties,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Axis failure despite heavy Partisan casualties,full_population_auto
