analytic_commander_id,commander_name,best_supported_model,headline_rank,median_rank,rank_interval_80,rank_interval_90,rank_p10,rank_p90,rank_band_width_80,rank_band_width_90,confidence_category,stability_category,tier,strict_eligibility,broad_page_contribution_share,known_outcome_count,bootstrap_presence_rate,recommended_interpretation
acmd_48ef72a8fdfd,Alexander Suvorov,hierarchical_trust_v2,1,1.0,1-9,1-14,1.0,9.0,8.0,13.0,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,18,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_fe8dcb104442,"Maurice, Prince of Orange",hierarchical_trust_v2,2,6.5,2-36,1-46,2.0,36.0,34.0,45.1,wide,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,35,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_dba8ec42eadd,Napoleon Bonaparte,hierarchical_trust_v2,3,6.0,2-23,1-26,2.0,23.0,21.0,25.1,moderate,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,60,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_57806d8d6048,Subutai,hierarchical_trust_v2,4,11.0,3-62,2-89,3.0,62.2,59.2,87.45,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.048559,16,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",hierarchical_trust_v2,5,8.5,3-32,2-59,3.0,32.0,29.0,57.0,moderate,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,13,1.0,Rank band is reasonably constrained under current model assumptions.
acmd_c1296858a3ca,Jean Lannes,hierarchical_trust_v2,6,8.0,4-13,4-15,4.0,13.0,9.0,11.0,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0136,27,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_6c87ea380ff8,Louis-Nicolas Davout,hierarchical_trust_v2,7,11.0,3-33,3-58,3.0,33.2,30.2,55.1,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.026875,20,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_0718c2b706e8,Douglas MacArthur,hierarchical_trust_v2,8,22.0,4-72,2-89,4.0,72.4,68.4,87.1,wide,stable,"Tier A, robust elite",eligible_field_commander,0.066491,20,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_7305f32ff4a6,Charles XIV John,hierarchical_trust_v2,9,12.0,6-32,4-57,6.0,32.2,26.2,53.05,moderate,very_stable,"Tier A, robust elite",eligible_field_commander,0.033408,16,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_3fe0c4409371,Ivan Paskevich,hierarchical_trust_v2,10,22.0,2-199,1-384,2.0,199.0,197.0,382.5,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.057642,9,0.995,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
