display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,battle_8450227,Siege of Utica,Siege of Utica,battle_article,side_b,Rome,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_218_BC),battle_3110207,Battle of the Upper Baetis,Battle of the Upper Baetis,battle_article,side_b,Roman Republic,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_218_BC),battle_1294942,Battle of Ticinus,Battle of Ticinus,battle_article,side_b,Rome,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_898313,Siege of the Sogdian Rock,Siege of the Sogdian Rock,battle_article,side_a,Macedon League of Corinth,unknown,victory,unknown,Macedonian victoryHorn Spencer 2012,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victoryHorn Spencer 2012
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_15296493,Siege of Gaza (332 BC),Siege of Gaza (332 BC),battle_article,side_a,Macedon Hellenic League,unknown,victory,victory,Macedonian victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_745994,Battle of Chaeronea (338 BC),Battle of Chaeronea (338 BC),battle_article,side_a,Macedon * Thessaly * Argos * Arcadia * Phocis,unknown,victory,victory,Macedonian victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,battle_3129123,Battle of Rimini (432),Battle of Rimini (432),battle_article,side_b,,unknown,defeat,unknown,"Bonifacius victorious, but mortally wounded",Retained page result states Bonifacius was victorious while Aetius is attached to the opposing side.,"page_result_raw=Bonifacius victorious, but mortally wounded"
Belisarius,https://en.wikipedia.org/wiki/Belisarius,battle_5196520,Iberian War,Iberian War,war_conflict_article,side_a,Byzantine Empire Iberia Lazica Ghassanids Huns Heruli Aksum Kinda,unknown,indecisive,unknown,InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_70387436,Muslim–Quraysh War,Muslim–Quraysh War,war_conflict_article,side_a,First Islamic state Quraysh splinter groups Ansar Flag (4).png Ansars Black flag.svg Muhajirun Banu Makhzum (from 627),unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_5986980,Battle of Autas,Battle of Autas,battle_article,side_a,First Islamic state,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_3131002,Battle of Hunayn,Battle of Hunayn,battle_article,side_a,First Islamic State,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_3797250,Siege of Ta'if,Siege of Ta'if,battle_article,side_a,First Islamic State,unknown,indecisive,unknown,Inconclusive,"Retained page result is explicitly inconclusive, so the row should be a non-win rather than unresolved.",page_result_raw=Inconclusive
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7517460,Battle of Dawmat al-Jandal,Battle of Dawmat al-Jandal,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7517465,Battle of Muzayyah,Battle of Muzayyah,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7598267,Battle of al-Anbar,Battle of al-Anbar,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_4246048,Battle of Nikiou,Battle of Nikiou,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_24916149,Battle of Pombal,Battle of Pombal,battle_article,side_a,First French Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_16477218,Battle of al-Fule,Battle of al-Fule,battle_article,side_b,Ayyubid Sultanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
