analytic_commander_id,commander_name,best_supported_model,headline_rank,median_rank,rank_interval_80,rank_interval_90,rank_p10,rank_p90,rank_band_width_80,rank_band_width_90,confidence_category,stability_category,tier,strict_eligibility,broad_page_contribution_share,known_outcome_count,bootstrap_presence_rate,recommended_interpretation
acmd_48ef72a8fdfd,Alexander Suvorov,hierarchical_trust_v2,1,3.0,1-9,1-13,1.0,9.1,8.1,12.05,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,18,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_fe8dcb104442,"Maurice, Prince of Orange",hierarchical_trust_v2,2,5.0,1-23,1-32,1.0,23.0,22.0,31.05,moderate,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,35,1.0,Rank band is reasonably constrained under current model assumptions.
acmd_dba8ec42eadd,Napoleon Bonaparte,hierarchical_trust_v2,3,3.0,1-8,1-11,1.0,8.0,7.0,10.0,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,60,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_57806d8d6048,Subutai,hierarchical_trust_v2,4,7.0,1-38,1-71,1.0,38.2,37.2,70.05,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.048559,16,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",hierarchical_trust_v2,5,18.0,8-60,7-98,8.0,60.0,52.0,91.15,wide,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,13,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_c1296858a3ca,Jean Lannes,hierarchical_trust_v2,6,5.0,2-9,2-10,2.0,9.0,7.0,8.0,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0136,27,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_6c87ea380ff8,Louis-Nicolas Davout,hierarchical_trust_v2,7,15.0,7-43,6-66,7.0,43.2,36.2,60.2,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.026875,20,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_0718c2b706e8,Douglas MacArthur,hierarchical_trust_v2,8,37.0,14-100,12-116,14.0,100.1,86.1,104.1,wide,stable,"Tier A, robust elite",eligible_field_commander,0.066491,20,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_7305f32ff4a6,Charles XIV John,hierarchical_trust_v2,9,19.0,10-52,9-85,10.0,52.3,42.3,76.05,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.033408,16,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_3fe0c4409371,Ivan Paskevich,hierarchical_trust_v2,10,32.0,7-201,4-490,6.8,201.0,194.2,486.4,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.057642,9,0.995,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_36041001b0b5,Louis XIV,hierarchical_trust_v2,11,32.5,14-102,10-149,14.0,102.0,88.0,139.25,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.077055,11,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",hierarchical_trust_v2,12,23.0,9-87,7-108,9.0,87.1,78.1,101.0,wide,stable,"Tier A, robust elite",eligible_field_commander,0.0,15,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_b11217dd158b,Mehmed II,hierarchical_trust_v2,13,11.5,2-45,1-65,2.0,45.1,43.1,64.05,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.01843,21,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_4ed31628d983,Belisarius,hierarchical_trust_v2,14,20.5,4-81,2-127,4.0,81.2,77.2,125.15,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.021691,18,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_680356dbc48c,Louis-Gabriel Suchet,hierarchical_trust_v2,15,25.5,9-95,8-132,9.0,95.0,86.0,123.8,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.005759,19,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_9506d32c4783,André Masséna,hierarchical_trust_v2,16,13.0,6-48,5-68,6.0,48.3,42.3,63.05,wide,stable,"Tier A, robust elite",eligible_field_commander,0.0079,37,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",hierarchical_trust_v2,17,15.0,8-36,7-47,8.0,36.0,28.0,40.15,moderate,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,18,1.0,Rank band is reasonably constrained under current model assumptions.
acmd_2ed09394c0e3,Khalid ibn al-Walid,hierarchical_trust_v2,18,5.0,3-7,2-8,3.0,7.0,4.0,6.0,narrow,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,39,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_d7b7bb3c084e,Genghis Khan,hierarchical_trust_v2,19,31.5,7-111,6-160,7.0,111.2,104.2,153.8,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.044194,15,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_31e8258ee555,Hubert Gough,hierarchical_trust_v2,20,49.0,19-139,15-167,18.9,139.4,120.5,152.4,very_wide,stable,"Tier A, robust elite",eligible_field_commander,0.053235,17,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_73ed44aa1867,Bernard Montgomery,hierarchical_trust_v2,21,56.0,25-133,21-182,25.0,133.3,108.3,161.45,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.488638,12,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_d53c51d2e48c,Maharaja Ranjit Singh,hierarchical_trust_v2,22,109.0,30-394,19-469,29.9,394.4,364.5,450.0,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.123879,9,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_52501a875538,Alexander the Great,hierarchical_trust_v2,23,81.0,31-220,25-278,31.0,220.1,189.1,253.15,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.01093,11,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_7ece542ce56e,Winfield Scott,hierarchical_trust_v2,24,102.0,31-325,24-403,31.0,325.0,294.0,378.6,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.026489,8,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
