analytic_commander_id,commander_name,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,tier,stability_category,known_outcome_count,engagement_count,battle_count,broad_page_contribution_share,battle_siege_page_contribution_share,siege_row_share,provisional_role_category,strict_eligibility,exclude_from_headline_ranking,weak_battle_siege_support,recommended_action,rationale
acmd_48ef72a8fdfd,Alexander Suvorov,1,91.36363636363636,"Tier A, robust elite",very_stable,18,20,19,0.0,1.0,0.1,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_fe8dcb104442,"Maurice, Prince of Orange",2,88.55014058106843,"Tier D, strong but narrow-category performer",very_stable,35,38,36,0.0,1.0,0.815789,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_dba8ec42eadd,Napoleon Bonaparte,3,88.42174320524836,"Tier A, robust elite",very_stable,60,67,65,0.0,1.0,0.059701,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_57806d8d6048,Subutai,4,88.30178069353329,"Tier A, robust elite",very_stable,16,16,13,0.048559,0.951441,0.25,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",5,86.81443298969073,"Tier D, strong but narrow-category performer",very_stable,13,16,13,0.0,1.0,0.6875,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_c1296858a3ca,Jean Lannes,6,86.81162136832239,"Tier A, robust elite",very_stable,27,28,25,0.0136,0.9864,0.071429,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_6c87ea380ff8,Louis-Nicolas Davout,7,86.67104029990628,"Tier A, robust elite",very_stable,20,25,22,0.026875,0.973125,0.04,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_0718c2b706e8,Douglas MacArthur,8,86.27553889409559,"Tier A, robust elite",stable,20,22,18,0.066491,0.933509,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_7305f32ff4a6,Charles XIV John,9,86.09090909090911,"Tier A, robust elite",very_stable,16,21,16,0.033408,0.966592,0.047619,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_3fe0c4409371,Ivan Paskevich,10,86.08247422680412,"Tier B, elite but model-sensitive",stable,9,9,7,0.057642,0.942358,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
