requested_era,support_band,display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,mean_rank,top25_appearances,rank_baseline_conservative,rank_hierarchical_weighted,rank_signature,stability_label,caution_flags,recommendation_note,caveat_note
ancient,tentative_signal,Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,ancient,36.0,62.4,0,68.0,69.0,"B0=68, B1=64, H=69, HF=68, HE=36, HB=75",model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=68, B1=64, H=69, HF=68, HE=36, HB=75.",The era signal is thin; treat this as a weak provisional inclusion.
ancient,tentative_signal,Stilicho,https://en.wikipedia.org/wiki/Stilicho,ancient,54.0,93.0,0,117.0,96.0,"B0=117, B1=93, H=96, HF=104, HE=54, HB=105",highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=117, B1=93, H=96, HF=104, HE=54, HB=105.",The era signal is thin; treat this as a weak provisional inclusion.
ancient,tentative_signal,Julian,https://en.wikipedia.org/wiki/Julian_(emperor),ancient,48.0,132.0,0,48.0,168.0,"B0=48, B1=99, H=168, HF=227, HE=162, HB=183",highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=48, B1=99, H=168, HF=227, HE=162, HB=183.",The era signal is thin; treat this as a weak provisional inclusion.
ancient,tentative_signal,Constantine the Great,https://en.wikipedia.org/wiki/Constantine_the_Great,ancient,72.0,229.0,0,108.0,339.0,"B0=108, B1=72, H=339, HF=333, HE=265, HB=361",highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=108, B1=72, H=339, HF=333, HE=265, HB=361.",The era signal is thin; treat this as a weak provisional inclusion.
contemporary,tentative_signal,Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,contemporary,44.0,116.5,0,,44.0,"B0=NA, B1=308, H=44, HF=43, HE=69, HB=45",highly_model_sensitive,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | sparse_higher_level_evidence,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=308, H=44, HF=43, HE=69, HB=45.",The era signal is thin; treat this as a weak provisional inclusion.
contemporary,tentative_signal,Sarath Fonseka,https://en.wikipedia.org/wiki/Sarath_Fonseka,contemporary,66.0,177.2,0,92.0,230.0,"B0=92, B1=66, H=230, HF=220, HE=254, HB=244",highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=92, B1=66, H=230, HF=220, HE=254, HB=244.",The era signal is thin; treat this as a weak provisional inclusion.
contemporary,tentative_signal,Valery Gerasimov,https://en.wikipedia.org/wiki/Valery_Gerasimov,contemporary,93.0,211.0,0,,93.0,"B0=NA, B1=555, H=93, HF=99, HE=95, HB=101",highly_model_sensitive,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | sparse_higher_level_evidence,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=555, H=93, HF=99, HE=95, HB=101.",The era signal is thin; treat this as a weak provisional inclusion.
early_modern,robust_elite,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,1.0,5.8,5,18.0,1.0,"B0=18, B1=8, H=1, HF=1, HE=1, HB=1",stable,,"Best-supported early modern candidate; rank signature B0=18, B1=8, H=1, HF=1, HE=1, HB=1.",Top-25 in 5 of 5 trusted models with a rank range of 17; remains competitive under both battle-only and hierarchical runs.
early_modern,robust_elite,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,9.0,12.0,5,9.0,11.0,"B0=9, B1=14, H=11, HF=13, HE=11, HB=15",core_stable,,"Best-supported early modern candidate; rank signature B0=9, B1=14, H=11, HF=13, HE=11, HB=15.",Top-25 in 5 of 5 trusted models with a rank range of 6; remains competitive under both battle-only and hierarchical runs.
early_modern,robust_elite,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,9.0,12.8,5,19.0,12.0,"B0=19, B1=9, H=12, HF=10, HE=12, HB=12",core_stable,,"Best-supported early modern candidate; rank signature B0=19, B1=9, H=12, HF=10, HE=12, HB=12.",Top-25 in 5 of 5 trusted models with a rank range of 10; remains competitive under both battle-only and hierarchical runs.
early_modern,robust_elite,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,8.0,15.6,5,8.0,18.0,"B0=8, B1=11, H=18, HF=18, HE=19, HB=22",stable,,"Best-supported early modern candidate; rank signature B0=8, B1=11, H=18, HF=18, HE=19, HB=22.",Top-25 in 5 of 5 trusted models with a rank range of 14; remains competitive under both battle-only and hierarchical runs.
early_modern,strong_but_model_sensitive,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,5.0,15.6,4,25.0,5.0,"B0=25, B1=36, H=5, HF=5, HE=7, HB=5",model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=25, B1=36, H=5, HF=5, HE=7, HB=5.","Appears repeatedly near the top, but the exact placement depends on model structure."
early_modern,strong_but_model_sensitive,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,4.0,46.2,2,4.0,76.0,"B0=4, B1=4, H=76, HF=75, HE=63, HB=84",highly_model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=4, B1=4, H=76, HF=75, HE=63, HB=84.","Performs very strongly in battle-dominant models, but the rank drops when higher-level war/campaign pages are allowed to dilute battle-only performance."
medieval,strong_but_model_sensitive,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,8.0,16.0,4,21.0,10.0,"B0=21, B1=27, H=10, HF=8, HE=14, HB=8",stable,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=21, B1=27, H=10, HF=8, HE=14, HB=8.","Appears repeatedly near the top, but the exact placement depends on model structure."
medieval,strong_but_model_sensitive,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,1.0,28.0,2,5.0,48.0,"B0=5, B1=1, H=48, HF=51, HE=39, HB=47",highly_model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=5, B1=1, H=48, HF=51, HE=39, HB=47.","Appears repeatedly near the top, but the exact placement depends on model structure."
medieval,strong_but_model_sensitive,Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,13.0,39.2,2,47.0,26.0,"B0=47, B1=87, H=26, HF=9, HE=23, HB=13",highly_model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=47, B1=87, H=26, HF=9, HE=23, HB=13.","Appears repeatedly near the top, but the exact placement depends on model structure."
medieval,strong_but_model_sensitive,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,13.0,47.8,2,13.0,66.0,"B0=13, B1=19, H=66, HF=72, HE=83, HB=58",highly_model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=13, B1=19, H=66, HF=72, HE=83, HB=58.","Performs very strongly in battle-dominant models, but the rank drops when higher-level war/campaign pages are allowed to dilute battle-only performance."
medieval,strong_but_model_sensitive,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,6.0,69.8,1,29.0,103.0,"B0=29, B1=6, H=103, HF=108, HE=97, HB=114",highly_model_sensitive,,"Belongs in the era shortlist, but the case depends on model choice; rank signature B0=29, B1=6, H=103, HF=108, HE=97, HB=114.","Performs very strongly in battle-dominant models, but the rank drops when higher-level war/campaign pages are allowed to dilute battle-only performance."
modern,robust_elite,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,2.0,2.6,5,2.0,3.0,"B0=2, B1=3, H=3, HF=3, HE=2, HB=3",core_stable,,"Best-supported modern candidate; rank signature B0=2, B1=3, H=3, HF=3, HE=2, HB=3.",Top-25 in 5 of 5 trusted models with a rank range of 1; remains competitive under both battle-only and hierarchical runs.
modern,robust_elite,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,2.0,3.0,5,3.0,2.0,"B0=3, B1=5, H=2, HF=2, HE=3, HB=2",core_stable,,"Best-supported modern candidate; rank signature B0=3, B1=5, H=2, HF=2, HE=3, HB=2.",Top-25 in 5 of 5 trusted models with a rank range of 3; remains competitive under both battle-only and hierarchical runs.
modern,robust_elite,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,1.0,6.6,5,1.0,8.0,"B0=1, B1=2, H=8, HF=7, HE=13, HB=9",stable,,"Best-supported modern candidate; rank signature B0=1, B1=2, H=8, HF=7, HE=13, HB=9.",Top-25 in 5 of 5 trusted models with a rank range of 12; remains competitive under both battle-only and hierarchical runs.
modern,robust_elite,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,7.0,8.0,5,10.0,7.0,"B0=10, B1=7, H=7, HF=17, HE=9, HB=7",core_stable,,"Best-supported modern candidate; rank signature B0=10, B1=7, H=7, HF=17, HE=9, HB=7.",Top-25 in 5 of 5 trusted models with a rank range of 3; remains competitive under both battle-only and hierarchical runs.
modern,robust_elite,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,6.0,9.0,5,14.0,6.0,"B0=14, B1=13, H=6, HF=6, HE=6, HB=6",core_stable,,"Best-supported modern candidate; rank signature B0=14, B1=13, H=6, HF=6, HE=6, HB=6.",Top-25 in 5 of 5 trusted models with a rank range of 8; remains competitive under both battle-only and hierarchical runs.
