row_number,wikipedia_title,battle_id,status,issue_count,internal_issue_count,stable_mismatch_count,diagnostic_mismatch_count,issue_types,stable_mismatch_fields,diagnostic_mismatch_fields,live_title,live_pageid,live_fetch_mode,notes
1,Caratacus' last battle,battle_1269828,ok,3,0,0,3,,,list_page_origin|parent_list_page|source_family,Caratacus' last battle,1269828,wikitext_batch,
2,Air assault,battle_1042730,needs_review,3,3,0,0,likely_false_positive_generic_topic|missing_field|weak_row_no_infobox_no_result,,,Air assault,1042730,wikitext_batch,
3,Battle of Vercellae,battle_1187231,ok,0,0,0,0,,,,Battle of Vercellae,1187231,wikitext_batch,
4,Third Battle of Tapae,battle_5905704,ok,0,0,0,0,,,,Third Battle of Tapae,5905704,wikitext_batch,
5,Trajan's Dacian Wars,battle_1711717,ok,0,0,0,0,,,,Trajan's Dacian Wars,1711717,wikitext_batch,
6,Trajan's First Dacian War,battle_8467905,ok,4,0,0,4,,,list_page_origin|parent_list_page|discovery_root|source_family,Trajan's First Dacian War,8467905,wikitext_batch,
7,Battle of Adamclisi,battle_5999960,needs_review,9,0,8,1,,strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max,categories,Battle of Adamclisi,5999960,wikitext_batch,
8,Battle of Aquae Sextiae,battle_2224425,ok,0,0,0,0,,,,Battle of Aquae Sextiae,2224425,wikitext_batch,
9,Battle of Tridentum,battle_61275535,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of Tridentum,61275535,wikitext_batch,
10,Second Servile War,battle_895420,ok,0,0,0,0,,,,Second Servile War,895420,wikitext_batch,
11,War of the Heavenly Horses,battle_34184306,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,War of the Heavenly Horses,34184306,wikitext_batch,
12,Battle of Arausio,battle_1406206,ok,0,0,0,0,,,,Battle of Arausio,1406206,wikitext_batch,
13,Trajan's Second Dacian War,battle_8468666,ok,4,0,0,4,,,list_page_origin|parent_list_page|discovery_root|source_family,Trajan's Second Dacian War,8468666,wikitext_batch,
14,Battle of Sarmizegetusa,battle_30863164,needs_review,10,0,3,7,,latitude|longitude|battle_type,page_type_confidence|classification_notes|acceptance_reason|categories|list_page_origin|parent_list_page|source_family,Battle of Sarmizegetusa,30863164,wikitext_batch,
15,Second Battle of Cirta,battle_61309241,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Second Battle of Cirta,61309241,wikitext_batch,
16,Siege of the fortress at Muluccha,battle_63509993,needs_review,7,1,2,4,missing_commanders,latitude|longitude,page_type_confidence|classification_notes|acceptance_reason|categories,Siege of the fortress at Muluccha,63509993,wikitext_batch,
17,Battle of Burdigala,battle_36242133,needs_review,16,0,11,5,,location_raw|location_normalized|commander_side_a_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|strength_side_a_min|strength_side_b_min|strength_side_b_max|casualties_side_a_min|notes,page_type_confidence|classification_notes|acceptance_reason|text_length|categories,Battle of Burdigala,36242133,wikitext_batch,
18,Battle of Loulan,battle_4534026,ok,1,1,0,0,missing_commanders,,,Battle of Loulan,4534026,wikitext_batch,
19,Siege of Thala,battle_9292796,needs_review,7,1,2,4,missing_commanders,latitude|longitude,page_type_confidence|classification_notes|acceptance_reason|categories,Siege of Thala,9292796,wikitext_batch,
20,Battle of the Muthul,battle_3122531,needs_review,8,0,3,5,,location_raw|location_normalized|notes,page_type_confidence|classification_notes|acceptance_reason|text_length|categories,Battle of the Muthul,3122531,wikitext_batch,
21,Han conquest of Gojoseon,battle_19503687,needs_review,26,1,18,7,rejected_candidate,date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes,acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family|extraction_confidence,Han conquest of Gojoseon,19503687,full_parse_fallback,
22,Siege of Zama,battle_63570699,needs_review,6,0,2,4,,latitude|longitude,page_type_confidence|classification_notes|acceptance_reason|categories,Siege of Zama,63570699,wikitext_batch,
23,Battle of Suthul,battle_9292775,ok,0,0,0,0,,,,Battle of Suthul,9292775,wikitext_batch,
24,Operation Blue Star,battle_311735,ok,0,0,0,0,,,,Operation Blue Star,311735,wikitext_batch,
25,Han conquest of Nanyue,battle_38024939,needs_review,27,1,18,8,rejected_candidate,date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes,acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence,Han conquest of Nanyue,38024939,full_parse_fallback,
26,Jugurthine War,battle_558453,ok,0,0,0,0,,,,Jugurthine War,558453,wikitext_batch,
27,Battle of Noreia,battle_3204588,ok,0,0,0,0,,,,Battle of Noreia,3204588,wikitext_batch,
28,Cimbrian War,battle_3211844,ok,0,0,0,0,,,,Cimbrian War,3211844,wikitext_batch,
29,Siege of Cirta,battle_58038666,ok,5,1,0,4,missing_commanders,,page_type_confidence|classification_notes|acceptance_reason|categories,Siege of Cirta,58038666,wikitext_batch,
30,Trajan's Parthian campaign,battle_48463035,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Trajan's Parthian campaign,48463035,wikitext_batch,
31,Kitos War,battle_1956203,ok,0,0,0,0,,,,Kitos War,1956203,wikitext_batch,
32,Battle of Mobei,battle_4548076,ok,0,0,0,0,,,,Battle of Mobei,4548076,wikitext_batch,
33,Battle of Vindalium,battle_47799038,ok,5,1,0,4,missing_commanders,,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of Vindalium,47799038,wikitext_batch,
34,Battle of the Isère River,battle_64636633,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of the Isère River,64636633,wikitext_batch,
35,Battle of Ecbatana,battle_3134575,ok,0,0,0,0,,,,Battle of Ecbatana,3134575,wikitext_batch,
36,Herodium,battle_1353923,needs_review,11,0,4,7,,latitude|longitude|result_raw|notes,acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family,Herodium,1353923,wikitext_batch,
37,Battle of Mayi,battle_4534946,needs_review,1,0,1,0,,casualties_side_a_raw,,Battle of Mayi,4534946,wikitext_batch,
38,Han–Xiongnu Wars,battle_4626624,ok,4,0,0,4,,,list_page_origin|parent_list_page|discovery_root|source_family,Han–Xiongnu Wars,4626624,wikitext_batch,
39,Siege of Numantia,battle_6469947,needs_review,2,0,2,0,,latitude|longitude,,Siege of Numantia,6469947,wikitext_batch,
40,First Servile War,battle_229562,ok,0,0,0,0,,,,First Servile War,229562,wikitext_batch,
41,Han conquest of Dian,battle_39899639,needs_review,23,1,14,8,rejected_candidate,date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes,acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence,Han conquest of Dian,39899639,full_parse_fallback,
42,Jewish–Roman wars,battle_1356252,ok,1,1,0,0,missing_commanders,,,Jewish–Roman wars,1356252,wikitext_batch,
43,Sunpadh Rebellion,battle_79629525,ok,5,1,0,4,missing_commanders,,page_type_confidence|classification_notes|acceptance_reason|categories,Sunpadh Rebellion,79629525,wikitext_batch,
44,Han campaigns against Minyue,battle_39871561,needs_review,9,0,4,5,,location_raw|location_normalized|result_raw|notes,page_type_confidence|classification_notes|acceptance_reason|text_length|categories,Han campaigns against Minyue,39871561,wikitext_batch,
45,Siege of Dong'ou,battle_82484704,ok,5,1,0,4,missing_commanders,,page_type_confidence|classification_notes|acceptance_reason|categories,Siege of Dong'ou,82484704,wikitext_batch,
46,Burnswark Hill,battle_54202353,needs_review,13,1,3,9,missing_commanders,strength_side_a_raw|strength_side_a_min|notes,page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family,Burnswark Hill,54202353,wikitext_batch,
47,Numantine War,battle_6469951,ok,0,0,0,0,,,,Numantine War,6469951,wikitext_batch,
48,Battle of the Oenoparus,battle_2462997,ok,0,0,0,0,,,,Battle of the Oenoparus,2462997,wikitext_batch,
49,Achaean War,battle_31697331,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Achaean War,31697331,wikitext_batch,
50,Battle of Corinth (146 BC),battle_2924155,ok,0,0,0,0,,,,Battle of Corinth (146 BC),2924155,wikitext_batch,
51,Battle of Scarpheia,battle_42545487,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of Scarpheia,42545487,wikitext_batch,
52,Battle of Nepheris (147 BC),battle_36192780,needs_review,2,0,2,0,,latitude|longitude,,Battle of Nepheris (147 BC),36192780,wikitext_batch,
53,Battle of the Port of Carthage,battle_36193794,needs_review,2,0,1,1,,battle_type,categories,Battle of the Port of Carthage,36193794,wikitext_batch,
54,List of aircraft losses of the Vietnam War,battle_686151,ok,4,0,0,4,,,list_page_origin|parent_list_page|discovery_root|source_family,List of aircraft losses of the Vietnam War,686151,wikitext_batch,
55,Battle of Pydna (148 BC),battle_3154899,needs_review,2,0,2,0,,latitude|longitude,,Battle of Pydna (148 BC),3154899,wikitext_batch,
56,Battle of Lake Tunis,battle_51804400,needs_review,7,0,3,4,,latitude|longitude|battle_type,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of Lake Tunis,51804400,wikitext_batch,
57,Siege of Carthage (Third Punic War),battle_266649,ok,1,0,0,1,,,text_length,Siege of Carthage (Third Punic War),266649,wikitext_batch,
58,Third Punic War,battle_57551,ok,0,0,0,0,,,,Third Punic War,57551,wikitext_batch,
59,Fourth Macedonian War,battle_242356,ok,0,0,0,0,,,,Fourth Macedonian War,242356,wikitext_batch,
60,Battle of Oroscopa,battle_68318828,ok,4,0,0,4,,,page_type_confidence|classification_notes|acceptance_reason|categories,Battle of Oroscopa,68318828,wikitext_batch,
61,Rebellion of the Seven States,battle_356163,ok,0,0,0,0,,,,Rebellion of the Seven States,356163,wikitext_batch,
62,Lusitanian Wars,battle_6906723,ok,4,0,0,4,,,list_page_origin|parent_list_page|discovery_root|source_family,Lusitanian Wars,6906723,wikitext_batch,
63,Battle of Elasa,battle_1066080,ok,0,0,0,0,,,,Battle of Elasa,1066080,wikitext_batch,
64,Battle of Adasa,battle_3158121,needs_review,2,0,2,0,,latitude|longitude,,Battle of Adasa,3158121,wikitext_batch,
65,Battle of Vijithapura,battle_24968386,needs_review,2,1,1,0,missing_commanders,commander_side_a_raw,,Battle of Vijithapura,24968386,wikitext_batch,
66,Roman–Parthian War of 161–166,battle_24344027,ok,0,0,0,0,,,,Roman–Parthian War of 161–166,24344027,wikitext_batch,
